SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5442 S Oak Park Ave,Chicago,IL,60638,369873,3,2.0,CHI - Garfield Ridge,2200,,1960,1,168,,Active,,,https://www.redfin.com/IL/Chicago/5442-S-Oak-Park-Ave-60638/home/14029809,MRED,11646371,N,Y,41.792791,-87.7918774
MLS Listing,,Condo/Co-op,320 W Oakdale Ave #502,Chicago,IL,60657,300000,1,1.0,CHI - Lake View,1300,,1955,1,231,896,Active,October-8-2022 11:00 AM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/320-W-Oakdale-Ave-60657/unit-502/home/13370050,MRED,11646366,N,Y,41.935862,-87.6380327
MLS Listing,,Condo/Co-op,1424 W Walton St #2,Chicago,IL,60642,535000,2,2.0,CHI - West Town,1400,,2013,1,382,136,Active,October-8-2022 11:00 AM,October-8-2022 12:30 PM,https://www.redfin.com/IL/Chicago/1424-W-Walton-St-60642/unit-2/home/105708688,MRED,11644755,N,Y,41.899048,-87.6634988
MLS Listing,,Single Family Residential,7802 W Victoria St,Chicago,IL,60631,340000,2,1.0,CHI - Norwood Park,1000,3789,1945,1,340,,Active,October-9-2022 10:00 AM,October-9-2022 12:00 PM,https://www.redfin.com/IL/Chicago/7802-W-Victoria-St-60631/home/13565097,MRED,11639026,N,Y,41.9853196,-87.8219974
MLS Listing,,Single Family Residential,6075 N Naples Ave,Chicago,IL,60631,615000,4,4.0,CHI - Norwood Park,3000,,1957,1,205,,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/6075-N-Naples-Ave-60631/home/13508049,MRED,11646363,N,Y,41.992431,-87.7885724
MLS Listing,,Single Family Residential,3800 W Eddy St,Chicago,IL,60618,949700,6,3.5,CHI - Avondale,3557,3728,1913,1,267,,Active,,,https://www.redfin.com/IL/Chicago/3800-W-Eddy-St-60618/home/13455064,MRED,11646358,N,Y,41.9457168,-87.722644
MLS Listing,,Single Family Residential,9219 S Kingston Ave,Chicago,IL,60617,289900,4,2.0,CHI - Calumet Heights,2548,4726,1963,1,114,,Active,,,https://www.redfin.com/IL/Chicago/9219-S-Kingston-Ave-60617/home/13042826,MRED,11646356,N,Y,41.7275009,-87.5618134
MLS Listing,,Single Family Residential,12257 S State St,Chicago,IL,60628,260000,5,3.5,CHI - West Pullman,1556,,1927,1,167,,Active,,,https://www.redfin.com/IL/Chicago/12257-S-State-St-60628/home/13058611,MRED,11646355,N,Y,41.6709711,-87.6221777
MLS Listing,,Single Family Residential,4806 S Linder Ave,Chicago,IL,60638,334000,3,2.0,CHI - Garfield Ridge,881,,1999,1,379,,Active,October-8-2022 11:30 AM,October-8-2022 01:30 PM,https://www.redfin.com/IL/Chicago/4806-S-Linder-Ave-60638/home/14025938,MRED,11646353,N,Y,41.8051942,-87.7605538
MLS Listing,,Condo/Co-op,2414 W Thorndale Ave #3,Chicago,IL,60659,135000,1,1.0,CHI - West Ridge,850,,1929,1,159,386,Active,,,https://www.redfin.com/IL/Chicago/2414-W-Thorndale-Ave-60659/unit-3/home/25673594,MRED,11646350,N,Y,41.9887568,-87.69045
